Question Type,Question Format,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Short Answer,Answer the following questions,Give the basic requirement for vapour phase refining.,NA,NA,NA,NA,NA,"1. Metal forms volatile compound with suitable reagent
2. Volatile compound decomposes to give pure metal"

Short Answer,Answer the following questions,Give the uses of zinc.,NA,NA,NA,NA,NA,"1. Galvanisation of iron and steel
2. Die-casting in automobile industry
3. ZnO in paints rubber cosmetics
4. ZnS in luminous paints
5. Brass alloy manufacturing"

Short Answer,Answer the following questions,"Describe the role of: (i) Silica in copper extraction (ii) Cryolite in aluminium extraction (iii) Iodine in zirconium refining (iv) Sodium cyanide in froth flotation",NA,NA,NA,NA,NA,"i) Silica acts as acidic flux to remove FeO as slag
ii) Cryolite improves conductivity and lowers melting point
iii) Iodine forms volatile ZrI4 in Van Arkel process
iv) NaCN acts as depressing agent for selective flotation"

Short Answer,Answer the following questions,Explain the principle of electrolytic refining with an example.,NA,NA,NA,NA,NA,"1. Uses electrolytic cell
2. Impure metal as anode pure metal as cathode
3. Metal salt solution as electrolyte
4. Metal dissolves at anode deposits at cathode
5. Example: Silver refining process explained"

Conceptual,Answer the following questions,Explain the electrometallurgy of aluminium.,NA,NA,NA,NA,NA,"Hall-Heroult Process:
- Cathode: Iron tank lined with carbon
- Anode: Carbon blocks
- Electrolyte: 20% alumina + molten cryolite + 10% CaCl2
- Temperature: Above 1270K
- Reactions explained in detail"

Conceptual,Answer the following questions,Explain the thermodynamic principle of metallurgy.,NA,NA,NA,NA,NA,"1. Selection of reducing agent based on ΔG values
2. For spontaneous reduction ΔG should be negative
3. Coupled reactions considered
4. Temperature effects important"

Conceptual,Answer the following questions,Explain the applications of Ellingham diagram.,NA,NA,NA,NA,NA,"1. Helps select reducing agent and temperature
2. Shows relative stability of metal oxides
3. Predicts feasibility of reduction
4. Temperature dependence of reactions
5. Carbon reduction possibilities"

Conceptual,Answer the following questions,Explain the limitations of Ellingham diagram.,NA,NA,NA,NA,NA,"1. Based only on thermodynamic considerations
2. Does not give reaction rate information
3. Does not consider other possible reactions
4. Assumes equilibrium conditions
5. May not reflect actual conditions"

Five Mark Questions,Answer the following questions,Explain the froth floatation method.,NA,NA,NA,NA,NA,"1. Used for sulphide ores
2. Ore mixed with water and pine oil
3. Sodium ethyl xanthate as collector
4. Air blown to create froth
5. Ore particles rise with froth
6. Gangue settles down
7. Selective separation possible"

Five Mark Questions,Answer the following questions,How is copper extracted from its ore?,NA,NA,NA,NA,NA,"1. Concentration by froth flotation
2. Roasting and smelting with silica flux
3. Matte formation (Cu2S + FeS)
4. Converting to blister copper
5. Electrolytic refining
Detailed reactions included"

Matching,Match the following,"Match items in Column I with Column II:
Column I:
A. Cryolite
B. Zinc blende
C. Bauxite
D. Copper pyrite
Column II:
i. CuFeS2
ii. ZnS
iii. Al2O3.2H2O
iv. Na3AlF6",NA,NA,NA,NA,(iv) (ii) (iii) (i),Match the minerals with their chemical formulas

True/False,Choose the correct statement,The refractive index of a medium is always less than 1.,NA,NA,NA,NA,False,Refractive index is always greater than 1 as light cannot travel faster than its speed in vacuum

Assertion and Reason,Assertion and Reason,"Assertion: A rainbow is formed when sunlight is dispersed by water droplets.
Reason: Different colors of light are refracted at different angles due to different refractive indices.",NA,NA,NA,NA,Both assertion and reason are true and reason explains the assertion correctly,Different wavelengths of light have different refractive indices causing dispersion in water droplets
